Year,Advanced Economies,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Emerging Market and Developing Economies (EMDEs),High Income Countries,EMDE Latin America & Caribbean,Low-Income Countries (LIC),Middle-Income Countries (MIC),EMDE Middle East & N. Africa,EMDE South Asia,EMDE Sub-Saharan Africa,World (WBG members)
1993M12,3.976405,7.368421,183.7259,13.23077,4.377104,12.73619,-2.755109,13,7.218859,10.66411,32.51613,9.564777
1994M01,3.065856,8.333333,253.3155,14.23841,3.36689,13.99994,-0.153759,13.99994,3.541583,11.23096,33.58954,9.252669
1994M02,2.988905,7.933579,188.5393,14.46793,3.310561,14.07807,1.090924,15.34655,3.823397,11.8612,32.23549,8.802817
1994M03,3.130157,7.058824,171.8765,14.08501,3.976893,13.86069,2.589555,15.37584,4.255963,11.9197,30.27394,9.08642
1994M04,2.942153,7.350272,172.1431,13.9245,3.297991,13.61343,2.292845,15.83322,4.050922,12.97331,28.25643,8.592322
1994M05,2.974453,7.594937,140.1614,14.26038,4.314811,13.40638,7.776938,16.94614,4.98108,11.58088,24.44768,8.039763
1994M06,2.915979,7.643885,172.4696,12.96928,3.724382,12.39735,6.631617,16.91409,4.205474,11.88599,18.08213,7.810219
1994M07,3.154127,8.22898,143.8308,12.51506,3.932112,12.07563,6.771047,12.53012,3.883127,8.987692,17.76984,8.121128
1994M08,3.37794,9.082814,123.8293,13.18212,4.103299,12.3509,9.396949,13.61257,3.947042,9.293923,15.41276,9.123363
1994M09,3.22373,9.292035,111.3016,12.54092,4.24208,14.00889,11.44805,12.94278,3.772005,9.425428,12.19541,9.401971
1994M10,2.867217,9.753954,111.4938,12.43231,3.682143,14.33558,10.45393,12.45634,4.052766,10.41827,11.4311,9.167243
1994M11,2.595868,9.947644,110.1335,14.96056,3.686073,14.77361,16.55306,13.36806,4.636737,10.49382,13.24634,9.290459
1994M12,2.589024,9.973981,117.9903,15.6534,2.778879,15.18821,16.70676,15.18821,3.346133,11.73521,13.27255,9.165751
1995M01,2.698964,5.900621,99.33838,15.67944,4.216149,14.60373,11.70238,16.26363,5.353747,12.46476,10.65229,9.419355
1995M02,2.69569,5.846154,85.65271,15.51724,4.004079,14.33627,15.57294,14.97768,5.286628,11.63263,12.67728,8.888889
1995M03,2.773978,6.153846,75.72594,17.05026,3.877931,14.30251,17.05026,16.67407,5.563921,12.33281,13.6632,9.708779
1995M04,2.980521,6.097561,54.75459,15.31532,4.124856,13.23896,15.55914,14.61642,5.929538,11.06786,13.35016,9.438304
1995M05,2.888833,5.757576,49.60841,14.35897,3.372391,13.14811,14.23603,15.36131,5.773053,11.59201,12.61129,9.333333
1995M06,2.714512,6.646526,46.12075,14.9751,3.526488,13.50453,14.9751,13.71177,5.441659,11.78426,12.48533,9.39371
1995M07,2.606359,6.306306,46.11423,12.12938,3.301129,13.31469,11.49717,13.31469,5.875388,11.56349,10.2262,8.889572
1995M08,2.393031,6.547619,41.85567,12.80788,2.681875,12.55367,10.22194,12.99061,5.817579,11.97128,8.962117,8.47362
1995M09,2.36731,8.333333,37.21076,12.45402,3.152387,12.35584,7.112318,12.48529,5.917057,12.09382,6.802635,8.163265
1995M10,2.604821,8.605341,35.04713,11.97644,3.529484,12.02687,1.547401,12.00368,6.088249,10.23486,6.638408,8.097166
1995M11,2.532505,8.554572,32.82425,11.09044,3.982328,12.03533,1.440892,11.52192,5.370763,9.986783,6.306791,8.016564
1995M12,2.494701,8.259587,30.68967,11.26761,3.637333,12.01569,1.578138,11.41569,5.168043,9.464704,6.783612,7.997996
1996M01,2.613232,9.191044,29.46835,11.01176,2.753544,13.4446,4.284799,11.06138,6.273792,7.071273,6.286988,7.287557
1996M02,2.722124,9.011628,27.99403,11.21642,2.912718,15.91722,-0.161555,11.30033,5.827703,7.223348,6.158411,7.172821
1996M03,2.707315,9.275362,26.74726,10.95328,2.927321,14.62095,-2.098148,11.40428,6.092945,6.635695,6.28008,7.064666
1996M04,2.584562,8.192956,27.584,11.16971,2.916929,12.55133,-4.990233,11.32123,5.746741,7.197793,6.471509,7.252307
1996M05,2.772862,8.377761,30.149,10.84694,2.84261,12.45348,-7.226411,10.93155,5.115468,7.142874,6.440248,6.918983
1996M06,2.559628,7.261725,29.65959,10.62517,2.812834,12.21253,-9.120439,10.86844,4.54539,6.084234,8.757984,7.477016
1996M07,2.516292,7.228916,32.9085,11.78458,2.843547,13.03113,-5.643449,11.93074,4.37442,6.81131,9.848886,7.416765
1996M08,2.779934,6.891386,30.70519,11.4471,3.330097,13.74751,-7.955828,12.0214,5.015517,5.788587,9.410589,7.15787
1996M09,2.86456,6.760773,27.04049,11.01867,3.134334,13.27382,-7.989459,11.74833,5.009373,5.213154,9.316189,6.814452
1996M10,2.910492,6.557377,24.31645,10.83596,2.969907,12.00828,-6.86661,11.05195,3.899829,5.858806,9.808189,6.44122
1996M11,2.630484,6.25,21.4998,10.60509,2.974588,10.76404,-6.576603,10.76404,3.550432,5.921842,9.95856,6.135279
1996M12,2.583227,6.141618,20.37707,9.894071,2.751924,10.96669,-5.211516,10.19718,3.044908,5.669867,9.720936,6.651394
1997M01,2.632903,4.548685,19.0395,10.15757,2.879622,10.82751,-4.937363,10.82751,3.366337,8.31269,10.1098,6.294366
1997M02,2.3738,4.208348,19.1126,9.598725,2.811921,9.353092,-6.242519,9.844358,3.353057,8.790296,11.04175,5.646613
1997M03,2.248018,4.561887,18.85494,9.147069,2.548817,9.334601,-8.137608,9.334601,3.137255,8.008607,11.41312,5.788401
1997M04,2.0583,4.250943,18.56369,8.681238,2.128008,8.609272,-6.972133,8.753204,4.142012,8.88896,13.30576,5.684634
1997M05,2.029148,4.290598,17.67985,8.630934,2.202741,7.792208,-5.201952,8.665879,4.572925,8.356354,11.28133,5.606911
1997M06,2.070367,4.513592,17.64706,8.275115,2.211674,7.792208,-0.565972,8.758022,4.285714,9.055026,10.08726,5.349851
1997M07,2.142611,4.977838,17.38651,8.397734,2.322382,8.441558,-1.251377,8.441558,3.488372,8.645625,8.688434,5.436484
1997M08,2.307748,5.412371,15.82734,8.174749,2.333162,8.221049,2.100575,8.221049,3.546099,8.769442,8.024993,5.585118
1997M09,2.255834,5.655527,17.52008,8.087404,2.478392,8.34579,3.30307,8.108108,3.521127,8.694694,7.698839,5.632813
1997M10,2.058949,5.897436,17.69097,7.917518,2.231393,8.418177,7.999022,7.836015,3.667954,8.493925,7.696437,5.924908
1997M11,2.120373,6.649616,18.15052,7.650097,2.30396,7.73399,5.217336,7.73399,4.225352,7.023083,7.001446,5.240247
1997M12,2.129157,6.345178,18.23472,8.089718,2.289992,7.174231,0.971357,8.212291,3.846154,6.674261,7.756776,6.203862
1998M01,2.014095,6.852792,17.68919,7.770467,2.035886,7.29697,-0.796845,8.243964,4.195804,6.098157,7.072,6.06329
1998M02,1.911184,7.594937,17.18787,7.907211,2.084528,8.149609,1.635131,8.149609,4.195804,6.146023,6.471443,5.32035
1998M03,2.2566,8.291457,16.58175,7.772364,2.281865,8.242254,2.489633,8.242254,3.472222,7.286354,5.366655,5.247014
1998M04,2.132197,8.5,16.16,8.371858,2.304077,8.464353,2.119037,8.410382,3.219697,6.153619,5.093796,5.225709
1998M05,2.073763,10.14588,15.97113,7.836093,2.228672,8.433735,2.410386,7.968566,3.402647,6.582066,4.844058,5.202604
1998M06,2.11054,10.14851,12.18731,7.267656,2.158211,7.91965,0.23975,7.430049,3.013183,6.614586,5.754788,5.216671
1998M07,1.92371,9.922053,9.951246,7.26676,2.163148,7.457236,-1.646544,7.26676,2.893519,6.708212,6.806283,4.572565
1998M08,1.866515,7.58226,9.358667,6.935296,2.146094,7.573254,-1.332269,7.573254,3.531238,7.390081,7.668501,3.981506
1998M09,1.660268,6.817463,10.30716,6.679728,2.199527,7.086645,0.424197,6.952054,2.985075,7.504086,7.760959,4.688285
1998M10,1.742761,5.733083,9.741276,7.236324,2.012605,7.536232,0.253899,7.311383,2.793296,7.841636,8.81037,4.650317
1998M11,1.680685,5.668016,8.955399,7.586445,1.723801,7.475995,-1.931105,8.219077,2.788104,9.220116,9.077603,4.233807
1998M12,1.640281,5.241935,10.09024,7.956502,1.753923,7.53643,-1.197707,8.569031,2.777778,9.37379,9.021843,4.137346
1999M01,1.612583,5.073431,9.878296,7.002765,1.668988,7.024793,1.230581,8.041008,2.773062,8.062783,8.81181,3.285569
1999M02,1.587897,3.963012,9.550562,6.619061,1.800779,6.818182,2.513945,7.316105,2.578269,7.383771,8.008282,2.946026
1999M03,1.496507,3.010471,9.435836,6.903961,1.783575,6.779661,5.012447,7.481125,2.941176,6.410919,7.578823,3.003552
1999M04,1.520555,2.872063,9.543487,5.684397,1.78808,5.027933,7.270401,6.119825,2.649007,6.182769,7.540648,2.895607
