"title","address_city","address_community","address_county","address_state","address_street","address_street_number","date_collected","issuer_type","heated_water","heating","water_access","building_material","roof_material","fence","floors","rooms","bathroom_count","has_basement","has_balcony","year_built","location_latitude","location_longitude","price","price_currency","price_per_meter"
Dworek Terespol,Terespol,Terespol m,bialski,lubelskie,,,2022-01-07 15:26:47.356 +0100,REAL_ESTATE_AGENCY,,,,,,,,11,,true,,1825,,,1600000.0,PLN,2461.5384615384614
"Bielski, Wilamowice, Pisarzowice",Pisarzowice,Wilamowice,bielski,śląskie,,,2022-01-07 16:29:32.037 +0100,REAL_ESTATE_AGENCY,,,,,,,,4,,,,,49.8834,19.1456,129000.0,PLN,1075.0
"Brzeski, Brzeg",Brzeg,Brzeg,brzeski,opolskie,,,2022-01-07 16:18:57.366 +0100,REAL_ESTATE_AGENCY,OTHER_HEATING,OTHER_HEATING,WELL,BRICK,,,,5,,,,2010,50.8608509,17.466831,2600000.0,PLN,5777.777777777777
"Buski, Stopnica, Bosowice",Bosowice,Stopnica,buski,świętokrzyskie,,,2022-01-07 16:38:23.333 +0100,REAL_ESTATE_AGENCY,,,,,,,,10,2,,,1840,50.5258,20.8838,3300000.0,PLN,6111.111111111111
"Chełm, Rejowiec, Hruszów",Hruszów,Rejowiec,chełmski,lubelskie,Chełm,,2022-01-07 15:52:29.360 +0100,REAL_ESTATE_AGENCY,MUNICIPAL,OTHER_HEATING,WATER_SUPPLY,WOOD,METAL_SHEET,,,4,1,true,,2010,51.091113,23.281701,330000.0,PLN,1375.0
"Chełmski, Żmudź, Wólka Leszczańska",Wólka Leszczańska,Żmudź,chełmski,lubelskie,,,2022-01-07 15:51:38.024 +0100,REAL_ESTATE_AGENCY,,,,,,,,10,,,,,51.00952,23.63954,249000.0,PLN,498.0
"Dworek, ul. Równica",Ustroń,Ustroń,cieszyński,śląskie,,,2022-01-07 14:55:59.543 +0100,REAL_ESTATE_AGENCY,,GAS_HEATING,WELL,,,,,7,,true,true,1930,49.7186488,18.82510746,2500000.0,PLN,6024.096385542169
Dom na sprzedaż,Suliszewo,Drawsko Pomorskie,drawski,zachodniopomorskie,,,2022-01-07 20:18:21.837 +0100,REAL_ESTATE_AGENCY,,,,OTHER,,MESH,,,,,,,,,990000.0,PLN,680.4123711340206
"Gorzowski, Bogdaniec",Bogdaniec,Bogdaniec,gorzowski,lubuskie,,,2022-01-07 15:57:30.284 +0100,REAL_ESTATE_AGENCY,ELECTRIC_HEATING,TILED_STOVE,WATER_SUPPLY,BRICK,,OTHER,,5,1,true,,1934,52.6889,15.0708,849000.0,PLN,4245.0
"Gorzów Wielkopolski, Zakanale",Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,Zakanale,,2022-01-07 15:57:36.459 +0100,REAL_ESTATE_AGENCY,MUNICIPAL,GAS_HEATING,WATER_SUPPLY,,,OTHER,,7,2,,true,2005,52.7055048,15.2306013,999000.0,PLN,3027.2727272727275
